[    3932ms] [INFO] Slow network is detected. See https://www.chromestatus.com/feature/5636954674692096 for more details. Fallback font will be used while loading: https://fonts.gstatic.com/s/figtree/v9/_Xms-HUzqDCFdgfMm4S9DaRvzig.woff2 @ https://sbxkedebah-v2.npontu.com/clients/sign-in:0
[    4031ms] [VERBOSE] [DOM] Input elements should have autocomplete attributes (suggested: "username"): (More info: https://goo.gl/9p2vKq) %o @ https://sbxkedebah-v2.npontu.com/clients/sign-in:0
[ 2377458ms] [WARNING] WebSocket connection to 'wss://sbx-notify.kedebahlite.com:4444/app/wwypulxmt0gisyx9bav4?protocol=7&client=js&version=8.4.0&flash=false' failed: WebSocket is closed before the connection is established. @ https://sbxkedebah-v2.npontu.com/build/assets/app-BQac9LSS.js:7
[ 2407462ms] [WARNING] WebSocket connection to 'wss://sbx-notify.kedebahlite.com:4444/app/wwypulxmt0gisyx9bav4?protocol=7&client=js&version=8.4.0&flash=false' failed: WebSocket is closed before the connection is established. @ https://sbxkedebah-v2.npontu.com/build/assets/app-BQac9LSS.js:7
[ 2467466ms] [WARNING] WebSocket connection to 'wss://sbx-notify.kedebahlite.com:4444/app/wwypulxmt0gisyx9bav4?protocol=7&client=js&version=8.4.0&flash=false' failed: WebSocket is closed before the connection is established. @ https://sbxkedebah-v2.npontu.com/build/assets/app-BQac9LSS.js:7
[ 2527469ms] [WARNING] WebSocket connection to 'wss://sbx-notify.kedebahlite.com:4444/app/wwypulxmt0gisyx9bav4?protocol=7&client=js&version=8.4.0&flash=false' failed: WebSocket is closed before the connection is established. @ https://sbxkedebah-v2.npontu.com/build/assets/app-BQac9LSS.js:7
[ 2587477ms] [WARNING] WebSocket connection to 'wss://sbx-notify.kedebahlite.com:4444/app/wwypulxmt0gisyx9bav4?protocol=7&client=js&version=8.4.0&flash=false' failed: WebSocket is closed before the connection is established. @ https://sbxkedebah-v2.npontu.com/build/assets/app-BQac9LSS.js:7
[ 2647484ms] [WARNING] WebSocket connection to 'wss://sbx-notify.kedebahlite.com:4444/app/wwypulxmt0gisyx9bav4?protocol=7&client=js&version=8.4.0&flash=false' failed: WebSocket is closed before the connection is established. @ https://sbxkedebah-v2.npontu.com/build/assets/app-BQac9LSS.js:7
[ 2707492ms] [WARNING] WebSocket connection to 'wss://sbx-notify.kedebahlite.com:4444/app/wwypulxmt0gisyx9bav4?protocol=7&client=js&version=8.4.0&flash=false' failed: WebSocket is closed before the connection is established. @ https://sbxkedebah-v2.npontu.com/build/assets/app-BQac9LSS.js:7
[ 2767499ms] [WARNING] WebSocket connection to 'wss://sbx-notify.kedebahlite.com:4444/app/wwypulxmt0gisyx9bav4?protocol=7&client=js&version=8.4.0&flash=false' failed: WebSocket is closed before the connection is established. @ https://sbxkedebah-v2.npontu.com/build/assets/app-BQac9LSS.js:7
[ 2827505ms] [WARNING] WebSocket connection to 'wss://sbx-notify.kedebahlite.com:4444/app/wwypulxmt0gisyx9bav4?protocol=7&client=js&version=8.4.0&flash=false' failed: WebSocket is closed before the connection is established. @ https://sbxkedebah-v2.npontu.com/build/assets/app-BQac9LSS.js:7
[ 2887507ms] [WARNING] WebSocket connection to 'wss://sbx-notify.kedebahlite.com:4444/app/wwypulxmt0gisyx9bav4?protocol=7&client=js&version=8.4.0&flash=false' failed: WebSocket is closed before the connection is established. @ https://sbxkedebah-v2.npontu.com/build/assets/app-BQac9LSS.js:7
